,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nantucket,41.28,-70.1,75.2,83,1,9.17,US,1596287482
1,Port Alfred,-33.59,26.89,65.8,60,0,8.9,ZA,1596287706
2,Badajoz,38.67,-6.17,96.01,14,0,5.01,ES,1596287706
3,Boshnyakovo,49.63,142.17,58.48,93,100,9.13,RU,1596287706
4,Aljezur,37.32,-8.8,84.99,44,3,13.73,PT,1596287707
5,Barrow,71.29,-156.79,33.8,86,90,10.29,US,1596287707
6,Ushuaia,-54.8,-68.3,41.0,86,75,6.62,AR,1596287660
7,Busselton,-33.65,115.33,51.01,76,90,5.59,AU,1596287707
8,Rikitea,-23.12,-134.97,73.27,81,100,4.79,PF,1596287707
9,Kärdla,59.0,22.75,66.99,56,0,5.99,EE,1596287707
10,Lagos,6.58,3.75,84.2,61,16,9.75,NG,1596287449
11,Castro,-24.79,-50.01,54.61,84,96,4.36,BR,1596287708
12,Punta Arenas,-53.15,-70.92,35.6,93,40,5.82,CL,1596287621
13,Yellowknife,62.46,-114.35,60.8,77,75,9.17,CA,1596287607
14,Ojinaga,29.57,-104.42,78.8,54,1,5.97,MX,1596287708
15,Taoudenni,22.68,-3.98,113.86,6,0,10.67,ML,1596287708
16,Mahébourg,-20.41,57.7,75.2,69,40,10.29,MU,1596287709
17,Lüderitz,-26.65,15.16,93.2,9,0,5.82,NA,1596287709
18,Cabo San Lucas,22.89,-109.91,79.0,65,20,4.63,MX,1596287709
19,Cherskiy,68.75,161.3,41.58,86,85,8.72,RU,1596287709
20,Kahului,20.89,-156.47,73.4,73,1,6.93,US,1596287709
21,Matamoros,25.53,-103.25,71.6,78,40,2.35,MX,1596287709
22,Armidale,-30.52,151.65,37.71,91,0,1.74,AU,1596287710
23,Isla Vista,34.41,-119.86,73.0,93,1,4.79,US,1596287411
24,Musoma,-1.5,33.8,82.4,54,20,11.41,TZ,1596287710
25,Ponta do Sol,32.67,-17.1,77.0,57,20,24.16,PT,1596287710
26,Cidreira,-30.18,-50.21,62.76,71,0,1.72,BR,1596287465
27,Hilo,19.73,-155.09,73.4,78,90,4.7,US,1596287710
28,Spearfish,44.49,-103.86,62.01,72,0,1.99,US,1596287652
29,Lebu,-37.62,-73.65,52.75,97,100,17.81,CL,1596287711
30,Anandpur,31.25,76.5,91.96,57,4,3.27,IN,1596287711
31,Kaitangata,-46.28,169.85,50.0,75,1,4.0,NZ,1596287711
32,Hermanus,-34.42,19.23,64.99,66,0,5.01,ZA,1596287711
